"","","","","","","","People","","","","","","Families",""
"","","","","","","","","","y","","critical","Location","",""
"","","","","","","","","","","Enterprises","","","",""
"","","","","","","","","","","Damages","Infrastructure","s","",""
"Bandarawela","","2019.12.03","1","5","","","","1","","","","1","1","5 Yowun Senankaya"
"බදුල්ල","","","","","","","","","","","","","",""
"1
gJs;is   
Haputhale","Heavy Rain","2019.12.11","46","137","","","","","","","","1","46","137 Dambethenna Tamil V,."
"Badulla","","","","","","","","","","","","","",""
"Passara","","2019.12.03","5","18","","","","","","","","1","5","18  Sarwodaya Building"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","52","160","0","0","0","1","0","0","0","3","52","160"
"Bibila","Heavy Rain","","15","52","","","","","15","","","","",""
"Medagama","","","6","21","2","","","","4","","","","",""
"","Flood","","","","","","","","","","","","",""
"Siyambalanduwa","","","13","42","","","","","13","","","","",""
"Monaragala","","","12","54","","","","","12","","","","",""
"ම ොනරොගල","Heavy Rain","","","","","","","","","","","","",""
"Buttala","","","10","46","","","","","10","","","","",""
"2
nkhdwhfiy","","2019.11.30","","","","","","","","","","","",""
"Kataragama","Flood","","348","1332","","","","","9","","","2","348","1332"
"Moneragala","","","","","","","","","","","","","",""
"Thanamaliwila","Heavy Rain","","5","22","","","","","5","","","","",""
"Wellawaya","Heavy Rain","","12","54","","","","","12","","","","",""
"Badalkumbura","Heavy Rain","","11","49","","","","","11","","","","",""
"Madulla","Heavy Rain","","5","24","","","","","5","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","437","1696","2","0","0","0","96","0","0","2","348","1332"
"පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","489","1856","2","0","0","1","96","0","0","5","400","1492"
"Koralaipattu","","2019.11.29","564","1855","","","","","","","","","",""
"","Flood","","","","","","","","","","","","",""
"","","2019.12.05","659","1990","","","","","","","","","",""
"Koralaipattu North","","","","","","","","","","","","","",""
"","High Wind","2019.12.10","3","11","","","","","3","","","","",""
"Koralaipattu West","","2019.12.04","156","581","","","","","2","","","","",""
"Koralaipattu south","","2019.11.29","909","2884","","","","","5","","","","",""
"","Flood","","","","","","","","","","","","",""
"Koralaipattu central","","2019.12.06","1037","4093","","","","","","","","","",""
"","","","215","604","","1","","","18","","","","",""
"Manmunai west","","2019.11.29","","","","","","","","","","","",""
"ඩකලපුව","","","","","","","","","","","","","",""
"","Lightning","","1","5","","","","","","","","","",""
"3
kl;lf;fsg;G","","","","","","","","","","","","","",""
"Manmunai North","","2019.11.26","5301","18202","","","","1","5","","","","",""
"Batticaloa","","","","","","","","","","","","","",""
"kattankudy","","2019.11.29","2150","7711","","","","","","1","","","",""
"Manmunai pattu","","2019.11.28","2208","8308","","","","","4","","","","",""
"Monmunai south & EP","","2019.12.02","321","1098","","","","","3","","","","",""
"","Flood","","","","","","","","","","","","",""
"Monmunai south West","","2019.12.03","24","78","","","","","4","","","","",""
"Eravur pattu","","2019.12.02","2314","8281","","","","","2","","","","",""
"Porathivu pattu","","2019.12.02","734","2087","","","","","27","","","","",""
"Eravur pattuTown","","2019.12.04","2667","8948","","1","","","","","1","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","19263","66736","0","2","0","1","73","1","1","0","0","0"
