"","","","Relative","",""
"","","Temperature (0C)","","",""
"City","","","Humidity (%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","Mainly fair"
"Batticaloa","33","25","95","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","95","75","Showers at times"
"Galle","30","26","95","80","Showers at times"
"Jaffna","31","23","95","70","Showers or thundershowers at times"
"Kandy","28","22","95","75","Several spells of showers"
"Nuwara-Eliya","19","15","95","90","Showers at times"
"Ratnapura","30","23","95","90","Showers at times"
"Trincomalee","34","25","95","50","Mainly fair"
"Mannar","30","27","85","75","Several spells of light showers"
