"මනනාරම","","","","","","","","","","","","","",""
"10
Mannar Town","Flood","2019.10.25","95","356","","","","","","","","1","50","195"
"උතුරු පලාත      
kd;dhH     Mannar","","","","","","","","","","","","","",""
"/tl khfhzk;","","","","","","","","","","","","","",""
"Northen
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","95","356","0","0","0","0","0","0","0","1","50","195"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","95","356","0","0","0","0","0","0","0","1","50","195"
"Velanai","Mine Cyclone","2019.10.27","10","34","","","","1","9","","","","",""
"යාපනය/aho;g;ghz","","","","","","","","","","","","","",""
"11
Karainagar","","2019.10.28","11","40","","","","","11","","","","",""
"උතුරු පලාත       
k;/ Jaffna","Flood","","","","","","","","","","","","",""
"Jaffna
tlkhfhzk;/","","2019.10.24","25","93","","","","","25","","","","",""
"Northen/ ;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","46","167","0","0","0","1","45","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","46","167","0","0","0","1","45","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","1682","6467","0","3","0","8","184","11","1","1","50","195"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
