"","Weather Forecast for Main Cities","","","","24-Nov-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","65","Mainly fair"
"Batticaloa","32","25","90","65","Mainly fair"
"Colombo","31","23","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","28","25","95","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","90","65","Mainly fair"
"Kandy","29","21","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","14","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","31","23","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","25","90","75","Mainly fair"
"Mannar","31","24","90","75","Mainly fair"
