"","Weather Forecast for Main Cities","","","","2024-08-14"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","26","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","32","25","90","75","Showers or thundershowers"
"Galle","31","26","95","85","Showers or thundershowers"
"Jaffna","34","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","22","95","70","Showers or thundershowers"
"Nuwara-Eliya","25","13","95","65","Showers or thundershowers"
"Ratnapura","35","23","95","70","Showers or thundershowers"
"Trincomalee","33","25","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","33","26","90","60","Showers or thundershowers after 2.00p.m"
