"","Weather Forecast for Main Cities","","","Date :","29-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","50","Mainly fair"
"Batticaloa","36","26","80","55","Mainly fair"
"Colombo","31","25","90","75","Several spells of showers"
"Galle","30","26","90","75","Several spells of showers"
"Jaffna","32","27","85","75","Mainly fair"
"Kandy","29","23","90","65","Several spells of light showers"
"Nuwara-Eliya","18","14","90","75","Several spells of light showers"
"Ratnapura","33","24","95","70","Several spells of showers"
"Trincomalee","35","26","80","50","Mainly fair"
"Mannar","32","27","85","75","Mainly fair"
