"","Weather Forecast for Main Cities","","","Date :","18-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","20","90","45","Mainly fair"
"Batticaloa","30","23","85","60","Mainly fair"
"Colombo","32","24","85","60","Mainly fair"
"Galle","30","24","85","65","A few showers"
"Jaffna","32","19","85","60","Mainly fair"
"Kandy","33","18","90","45","Mainly fair"
"Nuwara-Eliya","22","7","85","35","Mainly fair"
"Ratnapura","36","23","90","45","A few showers"
"Trincomalee","30","21","85","60","Mainly fair"
"Mannar","31","24","85","60","Mainly fair"
