"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","","දිනය :     2025-02-07"
"","උෂ්ණත්වය(සස. අංශක)","","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","23","95","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","29","25","80","70","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","32","26","80","60","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","30","24","80","65","ප්‍රධාන වශයයන් වැසි රහිත"
"යාපනය","30","22","95","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","30","19","95","55","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","20","9","90","40","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","35","22","95","45","ප්‍රධාන වශයයන් වැසි රහිත"
"ත්‍රිකුණාමලය","29","25","85","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","31","25","90","70","ප්‍රධාන වශයයන් වැසි රහිත"
