"","Weather Forecast for Main Cities","","","Date:","7-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","95","60","Mainly fair"
"Batticaloa","29","25","80","70","Mainly fair"
"Colombo","32","26","80","60","Mainly fair"
"Galle","30","24","80","65","Mainly fair"
"Jaffna","30","22","95","70","Mainly fair"
"Kandy","30","19","95","55","Mainly fair"
"Nuwara-Eliya","20","9","90","40","Mainly fair"
"Ratnapura","35","22","95","45","Mainly fair"
"Trincomalee","29","25","85","70","Mainly fair"
"Mannar","31","25","90","70","Mainly fair"
