"","","","","","","Water","Water","","","24 Hr RF"
"Maduru Oya","","","","","","","","","",""
"Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.29","0.29","Normal","","0.8"
"(RB 54)","","","","","","","","","",""
"Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","-0.05","-0.07","Normal","","0.0"
"Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.80","-2.85","Normal","","4.4"
"Mahaweli Ganga","","","","","","","","","",""
"Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","3.86","3.95","Normal","","17.6"
"(RB 60)","","","","","","","","","",""
"Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","2.18","2.18","Normal","","45.5"
"Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.39","0.37","Normal","","0.1"
"Yan Oya","","","","","","","","","",""
"Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.48","1.48","Normal","","0.0"
"(RB 67)","","","","","","","","","",""
"Maa Oya (RB 69)  Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.53","0.53","Normal","","0.0"
"Malwathu Oya","","","","","","","","","",""
"Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","1.17","1.17","Normal","","0.0"
"(RB 90)","","","","","","","","","",""
"Mee Oya","","","","","","","","","",""
"Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.37","0.37","Normal","","0.0"
"(RB 95)","","","","","","","","","",""
"Deduru Oya","","","","","","","","","",""
"Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","0.44","0.44","Normal","","3.9"
"(RB 99)","","","","","","","","","",""
"Maha Oya","Badalgama","m","5.00","6.20","9.60","2.38","2.38","Normal","","7.7"
"Maha Oya","","","","","","","","","",""
"(RB 102)","","","","","","","","","",""
"Maha Oya","Giriulla","m","5.50","6.50","7.50","1.25","1.28","Normal","","3.0"
"Attanagalu Oya","","","","","","","","","",""
"Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","1.26","1.25","Normal","","14.1"
"(RB 103)","","","","","","","","","",""
"Prepared by : 
H.P.S.W.Gunawardhana(H.A.)","","","","","","","","","",""
"Cheecked by :
W.A.S.Saumya (H.D.S(Act))","","","","","","","","","",""
