"","Weather Forecast for Main Cities","","","Date :","16-Apr-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","23","95","65","Mainly fair"
"Batticaloa","32","26","95","80","Mainly fair"
"Colombo","33","24","95","70","Several spells of light showers"
"Galle","32","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","25","95","65","Mainly fair"
"Kandy","32","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","14","95","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","24","95","80","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","24","90","65","Mainly fair"
"Mannar","34","26","90","65","Showers or thundershowers are likely after 2.00p.m"
