"H","eavy rain advisory for the next three days","","",""
"Province","District","28th Nov.","29th Nov.","30th Nov."
"","","Showers or","Showers or","Showers at times"
"","","thundershowers at","thundershowers at",""
"","","","times ;Heavy rainfall",""
"","","times ;Very heavy","",""
"","Mullaittivu","","",""
"","","","about (100- 150) mm",""
"","","rainfall above  150","",""
"","","","at some places",""
"","","mm at some places","",""
"","","Showers or","Showers or","Showers at times"
"","","thundershowers at","thundershowers at",""
"Northern","","times ;Very heavy","times ;Heavy rainfall",""
"","Jaffna","","",""
"","","rainfall above  150","about (100- 150) mm",""
"","","mm at some places","at some places",""
"","","Showers or","Showers or","Showers at times"
"","","thundershowers at","thundershowers at",""
"","","times ;Very heavy","times ;Heavy rainfall",""
"","Vavuniya","","",""
"","","rainfall above  150","about (100- 150) mm",""
"","","mm at some places","at some places",""
