"","","Kolonnawa","Cutting Failure","2022.10.14","5","18","1","5","18 Meethotamulla Navy 
Ground pavilion"
"","","Ja'Pura - Kotte","Flash Flood","2022.10.14","8","36","","",""
"","","Thimbirigasyaya","Flash Flood","2022.10.14","178","707","1","13","50 Wanathamulla Mohomad 
Community Hall"
"","නකොළඹ","","","","","","","",""
"8","nfhOk;G","Homagama","Flash Flood","2022.10.14","173","684","","",""
"","Colombo","","","","","","","",""
"","","","","","","","","","1.Pahala Bomiriya Morawaka"
"","","","","","","","","","watta Community hall"
"","","Kaduwela","Flash Flood","2022.10.14","368","1600","3","15","2.Thunandahena Community 
55"
"","","","","","","","","","hall 3.Welangahawatta"
"","","","","","","","","","Community hall"
