"fpof;F","","","","","","","","","","","","",""
"Eastern Province","","","","","","","","","","","","",""
"Addalachanai","","987","3100","","","","","","","","","",""
"Alayadiwembu","","1221","4000","","","","","","","","","",""
"lahugala
අම්පාර","Drinking water scarcity","169","606","","","","","","","","","",""
"mk;ghiw  
5
Mahaoya","due to prevailing dry 
2023.08.11","649","2192","","","","","","","","","",""
"Ampara","weather condition","","","","","","","","","","","",""
"Potuvul","","2639","8926","","","","","","","","","",""
"Thirukkovil","","432","1408","","","","","","","","","",""
"Padiyathalawa","","1642","5659","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","7739","25891","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","19822","66215","0","0","0","0","5","0","0","0","0","0"
"Wanathavilluwa","2023.08.25","131","429","","","","","","","","","",""
"පුත්තලම","Drinking water scarcity","","","","","","","","","","","",""
"6
Nawagaththegama
Gj;jsk;","due to prevailing dry 
2023.08.08","726","2106","","","","","","","","","",""
"Puttalam","weather condition","","","","","","","","","","","",""
"Anamaduwa","2023.08.21","167","603","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1024","3138","0","0","0","0","0","0","0","0","0","0"
"Bamunakotuwa","2023.08.03","65","201","","","","","","","","","",""
"","","","","","","","","","","","","","Providing Drinking"
"Alawwa","2023.08.11","915","3224","","","","","","","","","",""
"","","","","","","","","","","","","","Water"
"Galgamuwa","","","","","","","","","","","","",""
"","2023.08.02","85","340","","","","","","","","","",""
"Giribawa","2023.07.07","2887","9455","","","","","","","","","",""
"Paduwasnuwara East","2023.08.01","105","443","","","","","","","","","",""
"Paduwasnuwara West","2023.08.25","135","378","","","","","","","","","",""
"Polgahawela
වයඹ පලාත","2023.08.01","886","2790","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","",""
"කුරුනෑෙල 
Polpitigama","Drinking water scarcity 
2023.08.09","958","2925","","","","","","","","","",""
"North Western","","","","","","","","","","","","",""
"7
FUdhfy;","due to prevailing dry","","","","","","","","","","","",""
"Kuliyapitiya East","2023.07.15
weather condition","2255","7806","","","","","","","","","",""
"Kurunegala","","","","","","","","","","","","",""
"Kuliyapitiya West","2023.08.11","190","671","","","","","","","","","",""
"Bingiriya","2023.08.25","395","1389","","","","","","","","","",""
"Narammala","2023.08.15","279","1036","","","","","","","","","",""
"Rideegama","2023.08.08","80","330","","","","","","","","","",""
"Udubaddawa","2023.08.10","134","488","","","","","","","","","",""
"Pannala","2023.08.20","241","1017","","","","","","","","","",""
"Weerambugedara","2023.08.15","261","1056","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","9871","33549","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","10895","36687","0","0","0","0","0","0","0","0","0","0"
"Delft","","","","","","","","","","","","",""
"Kayts
යාපනය","Drinking water scarcity","","","","","","","","","","","",""
"","","","","","","","","","","","","","Providing Drinking"
"8
Chavakachcheri
aho;g;ghzk;","due to prevailing dry 
2023.08.11","9584","32888","","","","","","","","","",""
"","","","","","","","","","","","","","Water"
"Jaffna","weather condition","","","","","","","","","","","",""
"Maruthankerny","","","","","","","","","","","","",""
"Chankanai","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","9584","32888","0","0","0","0","0","0","0","0","0","0"
"","Drinking water scarcity","","","","","","","","","","","",""
"වව්නියාව tTdpah","","","","","","","","","","","","",""
"Vauniya North
9","due to prevailing dry 
2023.08.04","450","1120","","","","","","","","","",""
"Vavuniya","","","","","","","","","","","","",""
"","weather condition","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","450","1120","0","0","0","0","0","0","0","0","0","0"
"උතුරු පලාත","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","",""
"මන්නාරම","Drinking water scarcity","","","","","","","","","","","",""
"Northen","","","","","","","","","","","","",""
"Madu
kd;dhH    
10","due to prevailing dry 
2023.08.03","952","3244","","","","","","","","","",""
"Mannar","weather condition","","","","","","","","","","","",""
