"","","","","","","","","","","","","","","","Drinking water is being"
"","Karachchi","Drought","2024.04.17","432","946","","","","","","","","","","distributed for drought"
"","කිලිනනාච්චිය","","","","","","","","","","","","","","areas"
"3
fpspnehr;rp","","","","","","","","","","","","","","",""
"","","High wind","2024.05.22","4","13","","","","","4","","","","",""
"Killinochchi","Poonakary","","","","","","","","","","","","","",""
"","","High wind","2024.05.23","1","3","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","437","962","0","0","0","0","5","0","0","0","0","0"
"","","High Wind","2024.05.22","2","4","","","","","1","","","","",""
"","Nallur","","","","","","","","","","","","","",""
"","","High Wind","2024.05.24","2","8","","","","","2","","","","",""
"","","High Wind","2024.05.16","1","1","","","","","1","","","","",""
"උතුරු පලාත","Velanai","Lightning","2024.05.16","","","","","","","","","1","","",""
"යාපනය","","","","","","","","","","","","","","",""
"4
tl khfhzk;","","","","","","","","","","","","","","",""
"","aho;g;ghzk; Jaffna","High Wind","2024.05.18","","","","","","","","","1","","",""
"Northen","","","","","","","","","","","","","","",""
"","Tellippalai","High Wind","2024.05.19","1","2","","","","","1","","","","",""
"","Jaffna","High Wind","2024.05.20","1","4","","","","","1","","","","",""
"","Kopay","Lightning","2024.05.20","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","8","23","0","0","0","0","7","0","2","0","0","0"
"මුලතිව්","","","","","","","","","","","","","","",""
"5","Maritimepattu
Ky;iyj;jPT","High Wind","2024.05.24","2","10","","","","","2","","","","",""
"Mullaitivu","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2","10","0","0","0","0","2","0","0","0","0","0"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","447","995","0","0","0","0","14","0","2","0","0","0"
"","","Cutting faliture/High","","","","","","","","","","","","",""
"","Walallavita","wind/Flood/ Heavy","2024.06.01","13","50","","1","","","13","","","","",""
"","","Rain","","","","","","","","","","","","",""
"කළුතර","Mathugama","Flash Flood","2024.06.01","306","1136","","","","","","","","3","62","206"
"6
fSj;Jiw","Palindanuwara","High Wind","2024.06.01","2","6","","","","","1","","","","",""
"Kalutara","Bulathsinhala","Flash Flood","2024.06.01","4","10","","","","","","","","","",""
"","","Flash Flood /","","","","","","","","","","","","",""
"","ingiriya","","2024.06.01","22","82","","1","","","2","","","","",""
"","","Lightning/ Rock Fallen","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","347","1284","0","2","0","0","16","0","0","3","62","206"
"","Biyagama","Heavy Rain","2024.05.21","14","73","","","","","","","","","",""
"Western","","","","","","","","","","","","","","",""
"Nky; khfhzk;","ගම්පහ","High Wind/Tree fallan/","","","","","","","","","","","","",""
"7","Dompe
fk;g`h","","2024.05.21/23/24","2","5","","","","","","","","","",""
"බස්ත්‍රනාහිර පලාත","","Flood","","","","","","","","","","","","",""
"Gampaha","","","","","","","","","","","","","","",""
"","From 2024.05.29","","","","","","","","","","","","","",""
"","","High wind","2024.05.29","","","","","","1","617","6","","","",""
"","Situation 1600 hrs","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","16","78","0","0","0","1","617","6","0","0","0","0"
"","Padukka","","2024.06.01","14","40","","","","","","","","1","14","40"
"නකාළඹ","","","","","","","","","","","","","","",""
"8","","Flood","","","","","","","","","","","","",""
"","nfhOk;G Colombo","","","","","","","","","","","","","",""
"","Seethawaka","","2024.06.02","","","4","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","14","40","4","0","0","0","0","0","0","1","14","40"
"","පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","377","1402","4","2","0","1","633","6","0","4","76","246"
