"","Weather Forecast for Main Cities","","","","5-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","27","90","50","Mainly fair"
"Batticaloa","35","27","90","65","Mainly fair"
"Colombo","34","28","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","28","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","27","80","55","Mainly fair"
"Kandy","34","24","95","55","Mainly fair"
"Nuwara-Eliya","27","13","95","55","Mainly fair"
"Ratnapura","36","26","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","37","28","90","60","Mainly fair"
"Mannar","34","28","90","65","Mainly fair"
