"","Weather Forecast for Main Cities","","","Date :","11-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","60","Mainly fair"
"Batticaloa","33","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","28","90","70","Several spells of showers"
"Galle","31","28","90","75","Several spells of light showers"
"Jaffna","34","27","90","70","Showers or thundershowers are likely after 2.00p.m"
"Kandy","32","21","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","13","95","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","24","95","70","Several spells of showers"
"Trincomalee","34","25","90","65","Mainly fair"
"Mannar","33","27","95","70","Mainly fair"
