"","1","Etnuypah","","Cutting Faliure","2021.11.08","31","57","","","","11","","","","","",""
"","","Nuwara Eliya","Kothmale","High Wind","2021.11.07","2","9","","","","2","","","","","",""
"මධ්‍යම පලාත","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","39","94","0","0","0","0
13","0","","0","1","6","28"
"kj;jpa","","","","","","","","","","","","","","","","",""
"khfhzk;","","මාතලේ","Raththota","Landslide Risk","2021.11.06","11","43","","","","","","","","1","11","43 Rathwaththa Primary School"
"","2","khj;jis","","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","","","Ambanganga","","","","","","","","","","","","","","Missing person's dead body"
"","","Matale","","Drowning","2021.11.07","","","1","","","","","","","","","found on 07th"
"","","","Koralaya","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","11","43","1","0","0","0
0","0","","0","1","11","43"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","50","137","1","0","0","0
13","0","","0","2","17","71"
"","","","Mannar Town","","","153","525","","","","","","","","","",""
"","","මන්නාරම","","","2021.11.01 to","","","","","","","","","","","",""
"","","","Nannattan","Heavy Rain &","","6","27","","","","","","","","","",""
"","3","kd;dhH","","","06","","","","","","","","","","","",""
"","","","Manthai West","Flood","","27","88","","","","","","","","","",""
"","","Mannar","","","","","","","","","","","","","","",""
"","","","Musali","","","166","628","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","352","1268","0","0","0","0
0","0","","0","0","0","0"
"උතුරු පලාත","","","","","","","","","","","","","","","","",""
"","","","Chankanai","Flood","2021.11.07","1","5","","","","1","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","",""
"","","යාපනය","","","","","","","","","","","","","","",""
"Northen","","","Uduvil","Flood","2021.11.04","4","17","","","","2","","","","","",""
"","4","aho;g;ghzk;","","","","","","","","","","","","","","",""
"","","Jaffna","Delft","High Wind","2021.11.08","3","8","","","","2","2","","","","",""
"","","","Maruthankerny","Flood","2021.11.08","4","10","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","12","40","0","0","0","0
5","2","","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","364","1308","0","0","0","0
5","2","","0","0","0","0"
"","","","Ella","Heavy Rain","","12","42","","","","","","","","1","12","42 Halpe Kovil"
"","","බදුේල","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","1. Gonakale Line Hospital 2."
"ඌව","5","gJs;is","","","2021.10.29","","","","","","","","","","","","Kanawarella Crech Building"
"","","","Passara","Heavy Rain","","21","81","","","","","","","","3","21","81"
"Cth","","Badulla","","","","","","","","","","","","","","","3."
"","","","","","","","","","","","","","","","","","Puhulwatta Crech Building"
"khfhzk;","","","","","","","","","","","","","","","","",""
"Uva","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","33","123","0","0","0","0
0","0","","0","4","33","123"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","33","123","0","0","0","0
0","0","","0","4","33","123"
"","","","Godakawela","High Wind","2021.11.06","1","4","","","","1","","","","","",""
"","","","","Cutting Faliure","2021.11.07","1","4","","","","1","","","","","",""
"","","","Kahawatta","","","","","","","","","","","","","",""
"","","","","High Wind","2021.11.07","2","10","","","","2","","","","","",""
"","","රත්නපුර","","","","","","","","","","","","","","",""
"","6",",uj;jpdGhp","Nivithigala","Cutting Faliure","2021.11.07","1","4","","","","1","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","","",""
"","","Rathnapura","","","","","","","","","","","","","","",""
"rg;ufKt","","","Elapatha","Flood","2021.11.08","6","22","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","","",""
"","","","Kalawana","Cutting Faliure","2021.11.07","6","23","","","","6","","","","","",""
"","","","Ayagama","High Wind","2021.11.08","1","2","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","18","69","0","0","0","0
12","0","","0","0","0","0"
