"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලාං ො පැය)","(උතුරු අක්ොාංශ oN","",""
"","නැකගනහිර කේශොාංශ  oE)","",""
"09.06.23/1730","15.5/65.8","155-165 විටින් විට 180 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"09.06.23/2330","15.8/65.7","155-165 විටින් විට 180 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"10.06.23/1130","16.4/65.5","155-165 විටින් විට 180 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"10.06.23/2330","17.2/65.3","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"11.06.23/1130","17.8/65.1","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"11.06.23/2330","18.6/64.9","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
