"අම්ප෈ර","","","","","","","","","","","","",""
"10
Dehiattakandiya
High Wind
mk;ghiw","2019.09.26","3","8","","","","","3","","","","",""
"Ampara
න෉කගනහිර ප඼෈ත","","","","","","","","","","","","",""
"fpof;F     Eastern","","","","","","","","","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","3","8","0","0","0","0","3","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","3","8","0","0","0","0","3","0","0","0","0","0"
"Haldummulla
Heavy Rain","2019.09.25","4","21","","","","","2","","","","",""
"Soranathota
Heavy Rain","2019.09.25","1","5","","","","","1","","","","",""
"Ella
Heavy Rain","2019.09.28","3","11","","","","","3","","","","",""
"බදුල්඼","","","","","","","","","","","","",""
"12","","","","","","","","","","","","",""
"gJs;is Badulla","","","","","","","","","","","","",""
"Passara
Heavy Rain","2019.09.26","4","11","","","","","4","","","","",""
"ඌල/Cth","","","","","","","","","","","","",""
"khfhzk;/Uva","","","","","","","","","","","","",""
"Meegahakiula
Heavy Rain","2019.09.24","1","5","","","","","1","","","","",""
"Welimada
Heavy Rain","2019.09.29","3","10","","","","","3","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","16","63","0","0","0","0","14","0","0","0","0","0"
"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","16","63","0","0","0","0","14","0","0","0","0","0"
"මුළු එකතුල   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","35182","134935","3","10","1","79","5471","131","7","84","10818","44490"
