"","දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :25th August 2024 at 0900hrs","","","","","","","","","","","","","","",""
"","","","","","","","","","නිවාස්ත්‍ හානි","","","","","","",""
"","","","බලපෑමට ලක්වු","","","","","","","","","","","","",""
"","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","","","","","","Nrjkile;j","","ලවනත් හානි பிற பாதிப்புகள்","","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","","",""
"","","","ghjpf;fg;gl;l","","","","","","","","","","","","",""
"","Administrative purview","","","","","","අතුරුදහ","","tPLfs; Houses","","Other Damages","","miktplk; Safe Location","","",""
"","","","Affected","","","තුවාලවු","","","","","","","","","",""
"","","","","","","","න්වූ","","Damaged","","","","","","",""
"","","ආරම්භක දිනය","","","","පුද්ගලයින්","","","","","","","","","",""
"","","","","","","","පුද්ගලයින්","","","","","","","","",""
"","","mdu;j;jk; 
ආපදාව","","","මිය යෑම්","","","","","","කුඩා හා මධය","","","","",""
"","","","","","","","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","kuzq;f","fhaki","","","","පරිමාණ වයාපාරික","","ඉතා වැදගත් යටිතල","ආරක්ිත","","",""
"#","","Muk;gpj;j jpfjp  
mdHj;jk","","","","","fhzhk","","","","","","","","","NtW Fwpg;Gf;fs;"
"Province","","","","","s;","le;NjhH","","","","ස්ත්‍","රථාන சிறிய,","පහසුකම් වලට වූ 
ස්ත්‍","රථාන","පවුේ","",""
"","","","","","","","y;NghNd","","පූර්ණ","","","","","","","Remarks"
"","ප්‍රා.ලේ. ලකා","Date of 
Disaster","පවුේ ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","Deaths","","","","අර්ධ හානි","","நடுத்தர,","හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","දිස්ත්‍රික්කය","","","","","","hH","","හානි 
gFjpas","","","","","","",""
"","gpuNjr nra.gp     DS","commenced","FLk;gq;fs;","egHfs;","","Injured","","","","நிறுவனங்களின்","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;",""
"","","","","","","","Missing","","","T","","","","","",""
"","மாவட்டம் District","","Families","People","","People","","","KOik","சேதங்கள்; Small,","","Damages to","f   No.","s;","Persons",""
"","Division","","","","","","People","","Partially
Fully","","Medium,","","","","",""
"","","","","","","","","","","","","critical","of Safety","Families","",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","","",""
"","","","","","","","","","","","Damages","","","","",""
"","අම්පාර","","","","","","","","","","","","","","","02 Persons have gone"
"1","mk;ghiw    
Addalachchenai","Boat Missing
2024.07.13","","","","","","1","","","","","","","","to sea for fishing"
"නැවෙනහිර පලාත","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","activities"
"","Ampara","","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","",""
"Eastern","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","0","0","0","0","","1","0","0","0","0","0","0","0",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","0","0","0","0","","1","0","0","0","0","0","0","0",""
"","Naththandiya
පුත්තලම","Flood
2024.08.19/21","24","99","","","","","","","","","2","9","33",""
"ෙයඹ පලාත      
2","Gj;jsk;","Flash flood
2024.08.22","15","77","","","","","","","","","","","",""
"","Wennappuwa","","","","","","","","","","","","","","",""
"tlNky; khfhzk","Puttalam","","","","","","","","","","","","","","",""
"","Mundalama","Flood/High wind
2024.08.21","12","40","","","","","","4","","","","","",""
"North","","","","","","","","","","","","","","","",""
"Western","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","51","216","0","0","","0","0","4","0","0","2","9","33",""
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","51","216","0","0","","0","0","4","0","0","2","9","33",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","51","216","0","0","","1","0","4","0","0","2","9","33",""
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","","","",""
