"","","","","","","","People","People","","","நிறுவனங்களின்","","","",""
"","","","gpuNjr nra.gp     DS","FLk;gq;fs;","egHfs;","","","","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","","மாவட்டம் District","","","","","","","KOik","","","","","",""
"","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","","","Division","","","","","","Fully","","","","","",""
"","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","","ත්‍රීකුණාමලය","","","","","","","","","","","","",""
"","","","Kanthale
High Wind","2023.05.29
1","4","","","","","1","","","","",""
"","1","jp.kiy","","","","","","","","","","","","",""
"නැවගනහිර පලාත","","Trincomalee","Morawewa
High Wind","2023.05.29
8","21","","","","","8","","","","",""
"fpof;F Eastern","","","","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","9","25","0","0","0","0","9","0","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","9","25","0","0","0","0","9","0","0","0","0","0"
"","","","Lightning","2023.05.29
1","4","","","","","1","","","","",""
"","","","Mawanella","","","","","","","","","","","",""
"","","","High Wind","2023.05.29
1","5","","","","","1","","","","",""
"","","කෑගල්ල","","","","","","","","","","","","",""
"","2","","Lightning","2023.05.29
1","4","","","","","1","","","","",""
"සබරගමුෙ පලාත","","Nffhiy  Kegalle","","","","","","","","","","","","",""
"","","","Bulathkohupitiya","","","","","","","","","","","",""
"rg;ufKt","","","High Wind","2023.05.29
1","4","","","","","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","","Kegalle
High Wind","2023.05.29
1","6","","","","","1","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","5","23","0","0","0","0","5","0","0","0","0","0"
