"","Weather Forecast for Main Cities","","","Date :","26-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","55","Several spells of showers"
"Batticaloa","30","26","95","75","Showers or thundershowers at times"
"Colombo","34","26","90","60","Showers or thundershowers after 2.00p.m"
"Galle","30","25","95","70","Showers or thundershowers after 2.00p.m"
"Jaffna","30","26","90","65","Several spells of showers"
"Kandy","30","22","95","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","19","14","95","55","Showers or thundershowers at times"
"Ratnapura","35","24","95","50","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","26","95","70","Showers or thundershowers at times"
"Mannar","31","25","95","65","Showers or thundershowers at times"
