"","Weather Forecast for Main Cities","","","","2024-07-19"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","27","90","60","Mainly fair"
"Batticaloa","36","27","80","50","Mainly fair"
"Colombo","32","25","90","70","Several spells of light showers"
"Galle","30","25","95","75","Several spells of showers"
"Jaffna","33","28","80","65","Mainly fair"
"Kandy","27","23","95","75","A few showers"
"Nuwara-Eliya","17","14","95","85","A few showers"
"Ratnapura","32","23","95","75","Several spells of light showers"
"Trincomalee","35","27","75","55","Mainly fair"
"Mannar","32","28","85","70","Mainly fair"
