"","","","","Date :","17-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","85","60","Mainly fair"
"Batticaloa","35","26","80","55","Mainly fair"
"Colombo","31","27","85","75","Several spells of showers"
"Galle","29","26","90","80","Several spells of showers"
"Jaffna","31","27","85","75","Mainly fair"
"Kandy","28","22","90","70","Several spells of showers"
"Nuwara-Eliya","18","14","95","75","Several spells of showers"
"Ratnapura","31","25","95","70","Several spells of showers"
"Trincomalee","33","27","85","55","Mainly fair"
"Mannar","30","27","90","75","Mainly fair"
