"","Weather Forecast for Main Cities","","","Date :","17-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","20","95","45","Mainly fair"
"Batticaloa","30","24","95","80","A few showers"
"Colombo","33","25","90","55","Mainly fair"
"Galle","30","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","32","19","85","60","Mainly fair"
"Kandy","32","19","95","50","Mainly fair"
"Nuwara-Eliya","22","8","80","55","Mainly fair"
"Ratnapura","36","23","90","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","24","95","65","Mainly fair"
"Mannar","31","24","95","70","Mainly fair"
