"","Weather Forecast for Main Cities","","","","2024-08-25"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Mainly fair"
"Batticaloa","34","25","90","65","Mainly fair"
"Colombo","30","26","90","65","Several spells of showers"
"Galle","30","28","90","75","Several spells of showers"
"Jaffna","32","28","80","70","Mainly fair"
"Kandy","30","22","95","65","Several spells of light showers"
"Nuwara-Eliya","21","15","90","65","Several spells of showers"
"Ratnapura","33","23","90","60","Several spells of showers"
"Trincomalee","34","26","90","60","Mainly fair"
"Mannar","31","29","85","75","Mainly fair"
