"","Weather Forecast for Main Cities","","","Date :","19-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","22","95","85","Mainly fair"
"Batticaloa","31","25","90","80","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","90","80","A few showers"
"Galle","29","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","30","24","85","75","A few showers"
"Kandy","27","22","95","80","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","14","90","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","23","95","85","Showers or thundershowers are likely after 4.00p.m"
"Mannar","30","25","90","75","A few showers"
