"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","","දිනය :     2024-12-03"
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","31","24","90","70","ප්‍රධාන වශගයේ වැසි රහිත"
"මඩකලපුව","30","24","85","70","ප්‍රධාන වශගයේ වැසි රහිත"
"ගකාළඹ","31","26","80","65","ප්‍රධාන වශගයේ වැසි රහිත"
"ොල්ල","30","26","85","70","වැසි ස්වල්පයක්"
"යාපනය","30","24","90","70","වැසි වාර කිහිපයක්"
"මහනුවර","30","19","95","60","ප්‍රධාන වශගයේ වැසි රහිත"
"නුවරඑළිය","20","13","75","50","ප්‍රධාන වශගයේ වැසි රහිත"
"රත්නපුරය","32","23","90","60","ප්‍රධාන වශගයේ වැසි රහිත"
"ත්‍රිකුණාමලය","32","24","85","65","ප්‍රධාන වශගයේ වැසි රහිත"
"මේනාරම","30","25","90","80","වැසි වාර කිහිපයක්"
