"ගම්පහ","13","","39742","161383","3","1","","4","193","ක්‍රියාන්ිත 
18","පාළන","1126","4811","361","1450"
"රත්තනපුර","08","","1447","5689","3","1","","6","490","11","","67","242","703","2716"
"","","ගංවතුර /","","","","","","","","","","","","",""
"ලකාළඹ","09","","16185","65465","1","","","","29","51","1","4902","21422","",""
"","","තද","","","","","","","","","","","","",""
"පුත්තතලම","14","","7748","29049","3","","","","51","3","8","21","89","4592","18580"
"","","වර්ෂාපත","","","","","","","","","","","","",""
"කළුතර","14","","1150","4476","1","2","1","2","59","10","","48","183","",""
"","","නය /","","","","","","","","","","","","",""
"නුවරඑළිය","01","","70","301","","1","","","1","1","","1","5","",""
"","","දැඩි සුළං","","","","","","","","","","","","",""
"කෑගේල","11","","253","1059","5","","","3","121","3","","12","54","54","229"
"","","/  නාය","","","","","","","","","","","","",""
"මහනුවර","04","","10","35","","","","","10","","","","","",""
"","","යාම්","","","","","","","","","","","","",""
"කුරුණෑගල","13","","1008","3653","0","0","1","2","24","","","","","",""
"ගාේල","01","","","","1","","","","","","","","","",""
"එකතුව","88","","67613","271110","17","5","2","17","978","106","","6177","26806","5710","22975"
