"","Weather Forecast for Main Cities","","","Date :","8-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","31","22","95","60","Mainly fair"
"Batticaloa","29","24","85","70","Mainly fair"
"Colombo","34","24","85","60","Mainly fair"
"Galle","31","24","80","65","Mainly fair"
"Jaffna","31","21","95","70","Mainly fair"
"Kandy","30","19","95","60","Mainly fair"
"Nuwara-Eliya","19","7","90","55","Mainly fair"
"Ratnapura","35","21","95","55","Mainly fair"
"Trincomalee","29","24","85","75","Mainly fair"
"Mannar","32","24","90","65","Mainly fair"
