"","Weather Forecast for Main Cities","","","","16-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","95","70","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","24","95","60","Showers or thundershowers after 2.00p.m"
"Colombo","29","24","95","85","Several spells of showers"
"Galle","28","24","95","80","Several spells of showers"
"Jaffna","30","24","95","75","Showers or thundershowers at times"
"Kandy","28","21","95","75","Several spells of showers"
"Nuwara-Eliya","18","14","95","80","Several spells of showers"
"Ratnapura","29","23","95","80","Several spells of showers"
"Trincomalee","31","25","95","75","Showers or thundershowers at times"
"Mannar","29","24","95","80","Showers at times"
