"","Weather Forecast for Main Cities","","","Date :","12-Jun-2025"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","60","Several spells of showers"
"Batticaloa","35","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","27","90","75","Showers at times"
"Galle","29","25","90","80","Showers at times"
"Jaffna","32","26","90","70","A few showers"
"Kandy","28","22","95","85","Showers at times"
"Nuwara-Eliya","18","15","95","85","Showers at times"
"Ratnapura","29","24","90","85","Showers at times"
"Trincomalee","34","27","85","55","Mainly fair"
"Mannar","32","28","85","75","A few showers"
