"","Weather Forecast for Main Cities","","","Date :","2024-09-14"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","95","55","A few showers"
"Batticaloa","34","27","95","65","Showers or thundershowers after 2.00p.m"
"Colombo","30","26","90","70","Showers or thundershowers at times"
"Galle","29","27","90","75","Showers or thundershowers at times"
"Jaffna","33","28","85","60","A few showers"
"Kandy","28","21","95","65","Several spells of showers"
"Nuwara-Eliya","20","15","95","75","Several spells of showers"
"Ratnapura","32","24","95","65","Showers or thundershowers at times"
"Trincomalee","37","27","80","45","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","85","75","A few showers"
