"","","","Relative","Humidity",""
"","Temperature (0C)","","","",""
"","","","(%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","34","26","90","65","Showers or thundershowers after 2.00p.m"
"Colombo","30","25","95","70","Showers or thundershowers after 2.00p.m"
"Galle","29","25","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","32","26","95","65","Showers or thundershowers after 2.00p.m"
"Kandy","31","20","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","11","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","22","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","90","50","Showers or thundershowers after 2.00p.m"
"Mannar","33","26","90","70","Showers or thundershowers after 2.00p.m"
