"","Weather Forecast for Main Cities","","","","2-July-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","90","60","Mainly fair"
"Batticaloa","33","27","90","60","Mainly fair"
"Colombo","31","26","95","75","Several spells of showers"
"Galle","30","28","90","80","Several spells of light showers"
"Jaffna","32","28","80","70","Mainly fair"
"Kandy","31","23","95","65","Several spells of showers"
"Nuwara-Eliya","22","13","95","70","Several spells of showers"
"Ratnapura","34","24","95","65","Several spells of showers"
"Trincomalee","36","26","85","55","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","28","90","80","Mainly fair"
