"he forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum sustained","Category of cyclonic"
"","(Lat. 0N/","surface wind speed","disturbance"
"","long. 0E)","(Kmph)",""
"12.05.23/1130","13.8/88.3","125-135 gusting to 150","Very Severe Cyclonic Storm"
"12.05.23/1730","14.5/88.6","135-145 gusting to 160","Very Severe Cyclonic Storm"
"12.05.23/2330","15.2/89.0","140-150 gusting to 165","Very Severe Cyclonic Storm"
"13.05.23/0530","15.9/89.4","145-155 gusting to 170","Very Severe Cyclonic Storm"
"13.05.23/1730","17.5/90.5","150-160 gusting to 175","Very Severe Cyclonic Storm"
"14.05.23/0530","19.1/91.9","150-160 gusting to 175","Very Severe Cyclonic Storm"
"14.05.23/1730","21.3/93.7","100-110 gusting to 120","Severe Cyclonic Storm"
