"1","","",""
"44946 
176419 
20 
5 
0 
20 
1083","60","747","2905"
"➢  බලපෑමට ලක් වූ දිසරික් සංඛ්‍යාව",":","10",""
"➢  බලපෑමට ලක් වූ ප්‍රාදේශිය දේකම් දකාට්ඨාශ සංඛ්‍යාව :","","90",""
"➢  බලපෑමට ලක් වූ මුළු පවුේ සංඛ්‍යාව",":","44946",""
"➢  බලපෑමට ලක් වූ මුළු පුේගල සංඛ්‍යාව",":","176419",""
"➢  මියයෑම්",":","20",""
"➢  තුවාල ලැබූ සංඛ්‍යාව",":","05",""
"➢  අතුරුදහන් වීම්",":          -","",""
"➢  මුළු පූර්ණ හානි සංඛ්‍යාව",":","20",""
"➢  මුළු අර්ධ හානි සංඛ්‍යාව",":","1083",""
"➢  මුළු සුරක්ෂිත මධයසරථාන සංඛ්‍යාව",":","60",""
"➢  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පවුේ සංඛ්‍යාව",":","747",""
"➢  සුරක්ෂිත මධයසරථානයන්ි සිටින මුළු පුේගල සංඛ්‍යාව",":","2905",""
"➢  ඥාති නිවාස වල සිටින මුළු පවුේ සංඛ්‍යාව",":","1442",""
"➢  ඥාති නිවාස වල සිටින මුළු පුේගල සංඛ්‍යාව",":","5084",""
