"ගම්පහ","13","","20538","79710","3","1","","5","222","ක්‍රියාන්ිත 
15","පාළන","267","1071","220","941"
"රත්තනපුර","10","","2043","8141","3","1","","6","511","7","","50","182","283","1071"
"","","ගංවතුර /","","","","","","","","","","","","",""
"ලකාළඹ","06","","11801","49015","1","","","","45","25","","397","1481","",""
"","","තද","","","","","","","","","","","","",""
"පුත්තතලම","14","","7828","29283","2","","","","65","1","","1","15","885","2843"
"","","වර්ෂාපත","","","","","","","","","","","","",""
"කළුතර","14","","1382","5173","3","2","","4","70","9","","20","102","",""
"","","නය /","","","","","","","","","","","","",""
"නුවරඑළිය","01","","70","301","","1","","","1","","","","","",""
"","","දැඩි සුළං","","","","","","","","","","","","",""
"කෑගේල","11","","253","1059","5","","","3","121","3","","12","54","54","229"
"","","/  නාය","","","","","","","","","","","","",""
"මහනුවර","07","","13","46","","","","","14","","","","","",""
"","","යාම්","","","","","","","","","","","","",""
"කුරුණෑගල","13","","1018","3691","2","","","2","34","","","","","",""
"ගාේල","01","","","","1","","","","","","","","","",""
"එකතුව","90","","44946","176419","20","5","0","20","1083","60","","747","2905","1442","5084"
