"","","","","","","","","","නිවාස්ත්‍ හානි","","","",""
"","","පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு","","","බලපෑමට ලක්වු","","","","Nrjkile;j","ලවනත් හානි பிற பாதிப்புகள்","ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd","",""
"","","Administrative purview","","","ghjpf;fg;gl;l    Affected","","","","tPLfs; Houses","Other Damages","miktplk; Safe Location","",""
"","","","","","","","තුවාලවු","අතුරුදහ","Damaged","","","",""
"","","","","ආරම්භක දිනය","","","පුද්ගලයින්","න්වූ","","","","",""
"","","","","mdu;j;jk;","","මිය යෑම්","","පුද්ගලයින්","","","","",""
"","","","ආපදාව","","","","","","","","","","ලවනත් කරුණු"
"පළාත khfhzk;","","","","","","kuzq;f","fhakil","fhzhky;","","කුඩා හා මධය","","",""
"","#","","mdHj;jk","Muk;gpj;j jpfjp","","","","","","","","","NtW Fwpg;Gf;fs;"
"","","","","","","s;","e;NjhH","NghNdhH","","ඉතා වැදගත් යටිතල 
පරිමාණ වයාපාරික","ආරක්ිත","",""
"Province","","","","","","","","","","","","","Remarks"
"","","","Disaster","Date of","","Deaths","","","","පහසුකම් වලට වූ 
ස්ත්‍
රථාන சிறிய,","ස්ත්‍
රථාන  
පවුේ","",""
"","","","","","","","","","පූර්ණ","","","",""
"","","ප්‍රා.ලේ. ලකා","","commenced","පවුේ ස්ත්‍ංඛ්‍යාව 
පුද්ගලයින්","","Injured","Missing","අර්ධ හානි","நடுத்தர, 
හානි mbg;gilf;","ස්ත්‍ංඛ්‍යාව 
ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"","","දිස්ත්‍රික්කය","","","","","","","හානි","","","",""
"","","","","","","","People","People","","நிறுவனங்களின்","","",""
"","","gpuNjr nra.gp     DS","","","FLk;gq;fs; 
egHfs;","","","","gFjpasT","fl;likg;Gf;fs;","vz;zpf;i
FLk;gq;f","egHfs;",""
"","","மாவட்டம் District","","","","","","","KOik","","","",""
"","","","","","Families
People","","","","Partially","சேதங்கள்; Small, 
Damages to","s; 
f   No.","Persons",""
"","","Division","","","","","","","Fully","","","",""
"","","","","","","","","","","Medium, 
critical","Families
of Safety","",""
"","","","","","","","","","","Enterprises 
Infrastructure","Locations","",""
"","","","","","","","","","","Damages","","",""
"","","නුවරඑලිය","","","","","","","","","","",""
"මධ්‍යම පලාත","","","","","","","","","","","","",""
"","1","Walapane
Etnuypah","Fire","2023.07.05","18
75","","","","18","","1
18","75",""
"kj;jpa khfhzk;","","","","","","","","","","","","",""
"","","Nuwara Eliya","","","","","","","","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","18
75","0","0","0","0
18","0
0","1
18","75",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","18
75","0","0","0","0
18","0
0","1
18","75",""
"","","Kolonne
රත්නපුර ,uj;jpdGhp","","","1
3","","","","1","","","",""
"","2","","High wind","2023.07.07","","","","","","","","",""
"සබරෙමුව පලාත","","Rathnapura","","","","","","","","","","",""
"","","Nivithigala","","","1
3","","","","1","","","",""
"rg;ufKt","","","","","","","","","","","","",""
"Sabaragamuwa","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","2
6","0","0","0","0
2","0
0","0
0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2
6","0","0","0","0
2","0
0","0
0","0",""
"","","ත්‍රීකුණාමලය","","","","","","","","","","",""
"","","Seruvila","","","4
11","","","","4","","","",""
"","3","jp.kiy","High wind","2023.07.08","","","","","","","","",""
"නැවෙනහිර පලාත","","Kanthale","","","1
4","","","","1","","","",""
"","","Trincomalee","","","","","","","","","","",""
"fpof;F Eastern","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","5
15","0","0","0","0
5","0
0","0
0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","5
15","0","0","0","0
5","0
0","0
0","0",""
"","","Buttala","","","49
185","","","","2
47","","","",""
"","","Badalkumbura
වමානරාෙල/nkhdw","","","41
151","","","","41","","","",""
"","4","","High wind","2023.07.09","","","","","","","","",""
"","","hfiy Moneragala
Siyambalanduwa","","","17
58","","","","17","","","",""
"ඌව/Cth","","","","","","","","","","","","",""
"khfhzk;/Uva","","Madulle","","","1
4","","","","1","","","",""
"","","දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","108
398","0","0","0","2
106","0
0","0
0","0",""
