"","Weather Forecast for Main Cities","","","Date :","20-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","85","50","Mainly fair"
"Batticaloa","36","26","75","40","Mainly fair"
"Colombo","31","27","85","70","A few showers"
"Galle","30","26","85","75","A few showers"
"Jaffna","32","27","85","70","Mainly fair"
"Kandy","30","22","80","60","A few showers"
"Nuwara-Eliya","19","13","85","70","A few showers"
"Ratnapura","32","24","85","65","A few showers"
"Trincomalee","35","26","80","45","Mainly fair"
"Mannar","30","26","85","75","Mainly fair"
