"","Weather Forecast for Main Cities","","","","15-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","29","22","95","60","Mainly fair"
"Batticaloa","30","23","90","75","Mainly fair"
"Colombo","32","23","85","55","Mainly fair"
"Galle","29","23","90","80","Mainly fair"
"Jaffna","29","24","90","70","Mainly fair"
"Kandy","28","18","94","60","Mainly fair"
"Nuwara-Eliya","18","8","90","60","Mainly fair"
"Ratnapura","31","22","95","60","Mainly fair"
"Trincomalee","29","23","80","70","Mainly fair"
"Mannar","29","24","90","70","Mainly fair"
