"","Weather Forecast for Main Cities","","","","15-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Mainly fair"
"Batticaloa","34","27","90","60","Mainly fair"
"Colombo","31","28","85","75","Several spells of light showers"
"Galle","30","27","90","80","Several spells of showers"
"Jaffna","32","28","90","80","Mainly fair"
"Kandy","29","22","90","75","Mainly fair"
"Nuwara-Eliya","21","14","90","60","Mainly fair"
"Ratnapura","32","25","95","70","Several spells of showers"
"Trincomalee","35","26","85","55","Mainly fair"
"Mannar","31","29","85","75","Mainly fair"
