"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","31","25","95","60","වැසි වාර කිහිපයක්"
"මඩකලපුව","35","27","80","60",""
"","","","","","විය  ැක"
"හකාළඹ","31","25","95","70","විටින් විට වැසි"
"ගාල්ල","30","25","95","80","විටින් විට වැසි"
"යාපනය","31","27","85","70","වැසි වාර කිහිපයක්"
"ම නුවර","29","25","90","75","විටින් විට වැසි"
"නුවරඑළිය","18","15","95","80","විටින් විට වැසි"
"රත්නපුරය","32","24","95","75","විටින් විට වැසි"
"ිකුණාමලය","34","26","80","55","වැසි ස්වල්පයක්"
