"","","","Relative","Humidity",""
"","","Temperature (0C)","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","25","95","60","Several spells of showers"
"Batticaloa","35","27","80","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","95","70","Showers at times"
"Galle","30","25","95","80","Showers at times"
"Jaffna","31","27","85","70","Several spells of showers"
"Kandy","29","25","90","75","Showers at times"
"Nuwara-Eliya","18","15","95","80","Showers at times"
"Ratnapura","32","24","95","75","Showers at times"
"Trincomalee","34","26","80","55","A few showers"
"Mannar","31","28","85","75","Several spells of light showers"
