"","Weather Forecast for Main Cities","","","","5-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","90","80","Several spells of showers"
"Galle","30","26","90","85","Several spells of showers"
"Jaffna","31","25","90","85","A few showers"
"Kandy","29","22","95","75","A few showers"
"Nuwara-Eliya","22","15","95","80","A few showers"
"Ratnapura","31","24","95","80","Several spells of showers"
"Trincomalee","33","26","85","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","30","26","95","85","A few showers"
