"","","","","","","","තුවාලවු","","න්වූ","","","","","","","","","","","","",""
"","","","","","","","","","","","Damaged","","","","","","","","","","",""
"","","","","","","","පුද්ගලයි","","පුද්ගලයි","","","","","","","","","","","","",""
"","","ආරම්භක දිනය","","","","","","","","","","","","","","","","","","","",""
"","","","","","මිය යෑම්","","න්","","න්","","","","","","","","","","","","",""
"පළාත","ආපදාව","mdu;j;jk;","","","","","","","","","","","","","","ඉතා වැදගත්","","ආරක්ිත","","","",""
"","","","","","kuzq;f","","fhaki","","fhzh","","","","","කුඩා හා මධය","","","","","","","","ලවනත් කරුණු NtW"
"khfhzk; 
#","mdHj;jk;","Muk;gpj;j jpfjp","","","","","","","","","","අර්ධ","","","","යටිතල පහසුකම්","","ස්ත්‍","රථාන","","",""
"","","","","","s;","","le;NjhH","","ky;Ngh","","","","පරිමාණ වයාපාරික","","","","","","","","","Fwpg;Gf;fs; Remarks"
"","","","පවුේ","","","","","","","","","","","","","","","","","පවුේ","",""
"Province","Disaster","Date of","","","","","","","","","පූර්ණ","හානි","","","","වලට වූ හානි","","ස්ත්‍ංඛ්‍යාව","","","",""
"","","","","","Deaths","","","","NdhH","","","","ස්ත්‍","රථාන  rpW","","","","","","","",""
"දිස්ත්‍රික්කය","","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්","","","","","","","","","","","","","","","","ස්ත්‍ංඛ්‍යාව","පුද්ගලයින්",""
"ප්‍රා.ලේ. ලකා       gpuNjr","","commenced","","","","","","","","","හානි","gFjpa","","kw;Wk; kj;jpa","","mbg;gilf;","","vz;zpf;","","","",""
"khtl;lk ;","","","FLk;gq;f","egHfs;","","","Injured","","Missin","","","","","","","","","","","FLk;gq;","egHfs;",""
"nra.gp    DS Division","","","","","","","","","","","KOik","sT","","Kaw;rpfs;","","fl;likg;Gf;fs;","","","if","","",""
"District","","","s;","People","","","People","","g","","","","","","","","","","","fs;","Persons",""
"","","","","","","","","","","","","Partiall","Small, Medium,","","","Damages to","","Safety","","","",""
"","","","","","","","","","","","Fully","","","","","","","","","","",""
"","","","Families","","","","","","People","","","","","","","","","","","Families","",""
"","","","","","","","","","","","","y","","Enterprises","","critical","","Location","","","",""
"","","","","","","","","","","","","","","Damages","","Infastructure","","","","","",""
"","","","","","","","","","","","","","","","","","","","s","","",""
"","","","","","","","","","","","","","","","","","","","","","","5 SAR team rescued nearly"
"Oddusudan","","","1466","4724","","","","","","","","","","","","","","","3","163","548","200 families and arranged"
"","","","","","","","","","","","","","","","","","","","","","","cooked meals"
"","","","","","","","","","","","","","","","","","","","","","","3 SAR team rescued nearly"
"Puthukkudiyiruppu","","","3688","11468","","","","","","","","","","","","","","","10","1037","2817","250 familie and arranged"
"","","","","","","","","","","","","","","","","","","","","","","cooked meals"
"මුලතිව්න","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Iyankankulam GN is isolated"
