"Lunugala","33","136","","","","","23","","","1","5","18"
"Haldummulla","6","24","","1","","","5","","","","",""
"Hali Ela","75","302","","","","","64","","","","",""
"Ella","38","153","","","","","22","","","2","10","39"
"Ridimaliyadda","20","83","","","","","13","","","","",""
"Passara","54","213","","","","","31","","","1","1","6"
"බදුේල","","","","","","","","","","","",""
"Heavy rain / High","","","","","","","","","","","",""
"gJs;is         
Badulla","103","485","","4","","","73","","","1","5","28"
"Wind / Cutting Failure 
Badulla","","","","","","","","","","","",""
"19
Welimada","2024.11.24 /25 26
13","51","","","","","13","","","","",""
"ඌව                    
/ Flood / Land slide","","","","","","","","","","","",""
"Cth khfhzk;     
Meegahakiwula
Risk","22","69","","","","","20","","","","",""
"Uva","","","","","","","","","","","",""
"Uva Paranagama","30","119","","","","","27","","","","",""
"Bandarawela","43","140","1","","","","33","","","","",""
"Soranathota","45","173","","","","","10","","","1","10","39"
"Kandaketiya","19","60","","","","","16","","","","",""
"Haputhale","1","3","","","","","1","","","","",""
"Mahiyanganaya","258","941","","","","","","","","2","45","138"
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","760","2952","1","5","0","0","351","0","0","8","76","268"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","760","2952","1","5","0","0","351","0","0","8","76","268"
"Galenbidunuwewa","6","18","","","","","6","","","","",""
"Kahatagasdigiliya","7","27","","","","","5","1","","","",""
"Nochchiyagama","2","4","","","","1","1","1","","","",""
"Horoupathana","4","9","","","","","4","","","","1","4"
"N.N.P.","6","17","","","","","6","","","","",""
"Palugaswewa","4","10","","","","","4","","","","",""
"Mahavilachchiya","9","27","","","","1","8","","","","",""
"","2024.11.26/27/29/","","","","","","","","","","",""
"Kebithigollewa","8","25","","","","","8","","","","",""
"","30","","","","","","","","","","",""
"Thirappane","3","8","","","","","3","","","","",""
"Ipalogama","4","8","","","","","4","","","","",""
"Medawachchiya
Heavy rain / Flood / 
අනුරාධ්‍පුර    m.Guk;","5","11","","","","","5","","","","",""
"20","","","","","","","","","","","",""
"Anuradhapura
High Wind
Palagala","3","8","","","","","3","","","","",""
"Rajanganaya","2","3","","","","","2","","","","",""
"Mihinthale","3","13","","","","","3","","","","",""
"Thambuttegama","2","7","","","","","2","","","","",""
"උතුරුමැද පලාත","","","","","","","","","","","",""
"Galnewa
tlkj;jpa","2024.11.30
6","25","","","","","5","1","","","",""
"khfhzk;","","","","","","","","","","","",""
"M.N.P","2024.11.27
5","18","","","","","5","","","","",""
"North Central","","","","","","","","","","","",""
"Nachaduwa","2024.11.26
1","5","","","","","1","","","","",""
"Padaviya","2024.11.27
6","17","","","","1","5","","","","",""
"Kekirawea","2024.11.26/27
4","19","","","","","4","","","","",""
"Thalawa","2024.11.28/29
2","6","","","","","2","","","","",""
"Rabewa","2024.11.27/29
2","10","","","","","2","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","94","295","0","0","0","3","88","3","0","0","1","4"
"Dimbulagala","136","571","","","","","34","","","1","70","240"
"Lankapura","412","1697","","","","","8","","","2","173","661"
"Medirigiriya","11","45","","","","","3","","","","",""
"ලපාලලාන්නරුව","","","","","","","","","","","",""
"21
Flood
nghyd;dWit 
Thamankaduwa","2024.11.26
399","1388","","","","5","28","","","","",""
"Polonnaruwa","","","","","","","","","","","",""
"Hingurakgoda","9","33","","","","1","3","","","","",""
"Welikanda","3","9","","","","","3","","","","",""
"Elahera","4","16","","","","","4","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","974","3759","0","0","0","6","83","0","0","3","243","901"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","1068","4054","0","0","0","9","171","3","0","3","244","905"
"ලකාළඹ","","","","","","","","","","","",""
"22
Thimbirigasyaya","Heavy rain / High Wind 2024.11.27
5","19","","","","","","","","1","5","19"
"nfhOk;G Colombo","","","","","","","","","","","",""
