"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","50","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","24","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","29","25","95","65","Showers at times"
"Galle","29","24","95","80","Showers at times"
"Jaffna","32","26","85","70","Mainly fair"
"Kandy","30","20","95","65","Several spells of showers"
"Nuwara-Eliya","19","12","95","75","Several spells of showers"
"Ratnapura","31","23","95","60","Showers at times"
"Trincomalee","35","24","90","55","Showers or thundershowers after 2.00p.m"
"Mannar","31","26","90","70","Mainly fair"
