"","Weather Forecast for Main Cities","","","","6-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","95","45","Mainly fair"
"Batticaloa","31","25","90","70","Mainly fair"
"Colombo","33","25","85","60","Mainly fair"
"Galle","31","25","90","70","Mainly fair"
"Jaffna","32","24","80","55","Mainly fair"
"Kandy","32","18","85","55","Mainly fair"
"Nuwara-Eliya","23","9","70","45","Showers or thundershowers are likely after 4.00p.m"
"Ratnapura","35","23","95","45","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","31","23","90","65","Mainly fair"
"Mannar","32","24","95","60","Mainly fair"
