"","","දිස්ත්‍රික්කය","","","","","","","හානි","","","","","",""
"","","","","","","","","People","","","நிறுவனங்களின்","","","",""
"","","","gpuNjr nra.gp     DS","FLk;gq;fs;","egHfs;","","","","","gFjpasT","","fl;likg;Gf;fs;","vz;zpf;i","FLk;gq;f","egHfs;"
"","","மாவட்டம் District","","","","","","","KOik","","","","","",""
"","","","","Families","People","","","","","Partially","சேதங்கள்; Small,","Damages to","f   No.","s;","Persons"
"","","","Division","","","","","","Fully","","","","","",""
"","","","","","","","","","","","Medium,","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","","","Ayagama
Lightning","2023.03.06
1","5","1","","","","1","","","","",""
"","","","Kahawaththa
High Wind","2023.03.04
1","5","","","","","1","","","","",""
"","","","High Wind","2023.03.04
1","4","","","","","1","","","","",""
"","","රත්නපුර","Godakawela","","","","","","","","","","","",""
"","","","High Wind","2023.03.06
1","3","","","","","1","","","","",""
"","1",",uj;jpdGhp","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","",""
"","","","Elapatha
Rock Fallen","2023.03.04
1","6","","","","","1","","","","",""
"","","Rathnapura","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"","","","Imbulpe
High Wind","2023.03.04
1","3","","","","","1","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"","","","High Wind","2023.03.06
2","9","","","","","2","","","","",""
"","","","Kalawana","","","","","","","","","","","",""
"","","","Lightning","2023.03.06
3","12","","","","","3","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","11","47","1","0","0","0","11","0","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","11","47","1","0","0","0","11","0","0","0","0","0"
"","","පුත්තලම","","","","","","","","","","","","",""
"","2","Gj;jsk;","Chilaw
High Wind","2023.03.06
1","2","","","","","1","","","","",""
"ෙයඹ පලාත","","","","","","","","","","","","","","",""
"tlNky; khfhzk;","","Puttalam","","","","","","","","","","","","",""
