"","","","","","","4","1","2","","","","","","",""
"","","","Boat  Accident","2018.09.11","","","","","","","","","","",""
"","","Beruwala","","","","","","","","","","","","",""
"","","","","23150","125750","","","","","","","","","",""
"","","Kalutara","","17332","75017","","","","","","","","","",""
"","කළුතර/fSj;Jiw","","","","","","","","","","","","","",""
"","19","","","","","","","","","","","","","",""
"Western/","/ Kalutara","","Salt water","","","","","","","","","","","",""
"","","Matugama","2018.09.07","60","235","","","","","","","","","",""
"Nky;","","","Intrusion","","","","","","","","","","","",""
"khfhzk;බ","","Panadura","","1662","5850","","","","","","","","","",""
"ස්නාහිර පලාත","","","","","","","","","","","","","","",""
"","","Dodangoda","","323","1287","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","42527","208139","4","1","2","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","42527","208139","4","1","2","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","255558","925059","5","3","7","11","177","0","0","1","16","64"
"","","","","","","රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
