"","District","","","s;","People","","","","","","","","","fs; 
Persons",""
"","","","","","","","","","","Partiall","Small, Medium,","Damages to","Safety","",""
"","","","","","","","","","Fully","","","","","",""
"","","","","Families","","","","People","","","","","","Families",""
"","","","","","","","","","","y","Enterprises","critical","Location","",""
"","","","","","","","","","","","Damages","Infastructure","","",""
"","","","","","","","","","","","","","s","",""
"මඩකලපුව","","","2018.10.19","","","1","","","","","","","","",""
"නැගගනහිර 
1","Eravur Pattu","Lightning","","","","","","","","","","","","",""
"","kl;lf;fsg;G","","","","","","","","","","","","","",""
"පලාත","","","","","","","","","","","","","","",""
"Batticaloa","","","2018.10.20","3","11","1","2","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","",""
"Eastern","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","3","11","2","2","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","3","11","2","2","0","0","0","0","0","0","0","0"
"","Nuwara Eliya","Cutting Failure","2018.10.21","2","11","","","","","2","","","","",""
"","Ambagamuwa","Cutting Failure","2018.1021","1","4","","","","","","","","","",""
"නුවරඑලිය","","","","","","","","","","","","","","",""
"2","Walapane
Etnuypah","Landslide Risk","2018.10.22","11","38","","","","","","","","1","11","38 Harasbedda Vidyalaya"
"","Nuwara Eliya","","","","","","","","","","","","","",""
"","Kotmale","Heavy Rain","2018.10.21","2","7","","","","","2","","","","",""
"","Haguranketha","Cutting Failure","2018.10.21","6","23","","","","","4","","","1","4","14 Delpathkada community"
"","","","","","","","","","","","","","","","Hall"
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","22","83","0","0","0","0","8","0","0","2","15","52"
"","Matale","","","9","42","","","","1","2","","","","",""
"මාතගල්","Ukuwela","","","2","10","","","","","2","","","","",""
"3","","Heavy Rain","2018.10.20","","","","","","","","","","","",""
"","khj;jis Matale
Naula","","","1","5","","","","","","","","","",""
"","Abanhagakorale","","","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","13","61","0","0","0","1","5","0","0","0","0","0"
"මධ්‍යම","","Cutting failure/","","","","","","","","","","","","",""
"පලාත/kj;jpa","Delthota","Flash Flood/","2018.10.20","14","62","","","","","4","","","","",""
"khfhzk;/","","Landslide Risk","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","",""
"","Gangawatakorale","Cutting Failure","2018.10.21","9","28","","","","","9","","","","",""
"","Poojapitiya","Rock Fallen","2018.10.20","1","4","","","","","1","","","","",""
"","Panvila","Landslide Risk","2018.10.21","15","65","","","","","","","","1","15","65"
"","Medadumbara","Heavy Rain","2018.10.21","1","4","","","","","","","","","",""
"","නුවර","","","","","","","","","","","","","",""
"4","","","","","","","","","","","","","","",""
"","Pathahewanheta
fz;b    Kandy","Cutting Failure","2018.10.20","1","7","","","","","1","","","","",""
"","","Cutting failure/","","","","","","","","","","","","",""
"","Harispaththuwa","Tree Fallen /","2018.10.20/21","3","13","","","","","3","","","","",""
"","","Landslide Risk","","","","","","","","","","","","",""
"","Pathadumbara","Cutting Failure","2018.10.20/21","6","26","","","","","6","","","","",""
"","Minipe","Cutting Failure","2018.10.20","1","4","","","","1","","","","","",""
"","Udapalatha","Cutting Failure","2018.10.19","5","18","","","","","4","","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","56","231","0","0","0","1","28","0","0","1","15","65"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","91","375","0","0","0","2","41","0","0","3","30","117"
"","Akmeemana","","","300","1125","","","","1","30","1","","","",""
"","Niyagama","Flood","","173","668","","","","1","172","","","","",""
"","Yakkalamulla","","","523","1828","","","","8","68","164","8","","",""
"","","","","","","","","","","","","","","","Safe Location -"
"","","Flood / Cutting","","","","","","","","","","","","",""
"","","","","116","405","","","","","5","","","1","1","4
Wanduramba"
"","Baddegama","failure","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Quarters Office"
"","","Fire","","1","1","","","","","","1","","","",""
"","Thawalam","Cutting failure","","23","96","","","","1","17","","","","",""
"","ගාල්ල               
Habaraduwa","Flood","","150","620","","","","","19","2","","","",""
"දකුනු","","","2018.10.06","","","","","","","","","","","",""
"5","fhyp       
Nagoda","Flood / Cutting failure","","766","3105","1","","","5","245","190","","","",""
"පලාත/njd; 
Galle","","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","",""
