"","","","","","","Water","Water","","","24 Hr RF"
"","","","","Minor","Major","","","","Level",""
"River Basin
Tributory/River","","","Alert","","","Level at","Level at","Remarks","","in mm at"
"","Station","Unit","","Flood","Flood","","","","Rising or",""
"","","","Level","","","8:00 am","9:00 am","","","8.30 am"
"","","","","Level","Level","","","","Falling",""
"Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","1.70","1.50","Normal","","-"
"Kelani Ganga","Hanwella","m","7.00","8.00","10.00","2.36","2.34","Normal","","4.0"
"Kelani Ganga","Glencourse","m","15.00","16.50","19.00","10.45","10.50","Normal","","5.1"
"Kelani Ganga","","","","","","","","","",""
"Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","1.80","1.80","Normal","","11.0"
"(RB 01)","","","","","","","","","",""
"Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","0.40","0.40","Normal","","0.0"
"Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","1.50","1.52","Normal","","4.5"
"Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.70","0.69","Normal","","4.8"
"Kalu Ganga","Putupaula","m","3.00","4.00","5.00","1.91","1.89","Normal","","3.4"
"Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","6.90","6.80","Normal","","13.7"
"Kalu Ganga","","","","","","","","","",""
"Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","2.17","2.13","Normal","","4.0"
"(RB 03)","","","","","","","","","",""
"Maguru Ganga","Magura","m","4.00","6.00","7.50","1.93","1.89","Normal","","1.2"
"Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","4.47","4.39","Normal","","13.0"
"Gin Ganga","Baddegama","m","3.50","4.00","5.00","2.23","2.17","Normal","","0.0"
"Gin Ganga","","","","","","","","","",""
"(RB 09)","","","","","","","","","",""
"Gin Ganga","Thawalama","m","4.00","6.00","7.50","1.63","1.63","Normal","","0.0"
"Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","0.70","0.61","Normal","","0.0"
"Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","2.86","2.85","Normal","","0.0"
"Nilwala Ganga","","","","","","","","","",""
"(RB 12)","","","","","","","","","",""
"Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","0.59","0.58","Normal","","0.0"
"Urubokka Ganga","Urawa","m","2.50","4.00","6.00","0.08","0.08","Normal","","0.0"
"Walawe Ganga","","","","","","","","","",""
"Walawe Ganga","Moraketiya","m","3.00","5.00","7.00","1.23","1.22","Normal","","0.0"
"(RB 18)","","","","","","","","","",""
"Kirindi Oya","Thanamalwila","m","4.00","5.00","5.50","0.02","0.02","Normal","","0.0"
"Kirindi Oya","","","","","","","","","",""
"Kirindi Oya","Wellawaya","m","4.40","5.40","5.90","0.65","0.66","Normal","","0.0"
"(RB 22)","","","","","","","","","",""
"Kuda Oya","Kuda Oya","m","6.90","8.40","8.80","0.95","0.95","Normal","","0.0"
"Menik Ganga","","","","","","","","","",""
"Menik Ganga","Katharagama","m","4.00","4.60","6.50","-0.23","-0.23","Normal","","0.0"
"(RB 26)","","","","","","","","","",""
"Kumbukkan Oya","","","","","","","","","",""
"Kumbukkan Oya","Nakkala","m","5.00","6.00","7.50","0.61","0.61","Normal","","0.0"
"(RB 31)","","","","","","","","","",""
"Heda Oya","","","","","","","","","",""
"Heda Oya","Siyambalanduwa","m","4.50","6.00","7.00","0.14","0.14","Normal","","0.0"
"(RB 36)","","","","","","","","","",""
