"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","26","90","60","සිහින් වැසි වාර කිහිපයක්"
"මඩකලපුව","36","26","85","50","ප්‍රධාන වශහයන් වැසි රහිත"
"හකාළඹ","30","27","85","75","විටින් විට වැසි"
"ගාල්ල","30","26","90","75","විටින් විට වැසි"
"යාපනය","32","27","90","70","ප්‍රධාන වශහයන් වැසි රහිත"
"ම නුවර","29","24","90","70","විටින් විට වැසි"
"නුවරඑළිය","19","16","95","85","විටින් විට වැසි"
"රත්නපුරය","30","25","95","80","විටින් විට වැසි"
"ිකුණාමලය","34","27","80","50","ප්‍රධාන වශහයන් වැසි රහිත"
