"","","","Rideemaliyadda","High Wind","2022.12.25","6","26","","","","","6","","","","",""
"","","බදුේල","","","","","","","","","","","","","","",""
"","5","gJs;is","Lunugala","High Wind","2022.12.24","1","4","","","","","1","","","","",""
"ඌව","","","","","","","","","","","","","","","","",""
"","","Badulla","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","Bandarawela","Cutting Faliure","2022.12.25","1","4","","2","","","1","","","","",""
"Uva","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","8","34","0","2","0","0","8","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","8","34","0","2","0","0","8","0","0","0","0","0"
"","","මන්නාරම    kd;dhH","","","","","","","","","","","","","","",""
"උතුරු පලාත tl","6","","Musali","Boat Missing","2022.12.23","2","2","","","2","","","","","","",""
"","","Mannar","","","","","","","","","","","","","","",""
"khfhzk","","","","","","","","","","","","","","","","",""
"Northen","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","2","2","0","0","2","0","0","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","2","2","0","0","2","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","","","514","2111","2","7","2","1","130","0","0","0","0","0"
"","","","","","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
