"","Weather Forecast for Main Cities","","","Date :","14-Oct-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","95","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","25","90","70","Showers or thundershowers after 2.00p.m"
"Colombo","30","24","95","70","Several spells of showers"
"Galle","29","24","95","75","Showers or thundershowers"
"Jaffna","33","24","95","60","Showers or thundershowers after 2.00p.m"
"Kandy","32","21","95","55","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","13","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","33","25","90","65","Showers or thundershowers are likely after 2.00p.m"
