"","Weather Forecast for Main Cities","","","Date :","22-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","90","60","Mainly fair"
"Batticaloa","31","25","90","70","Mainly fair"
"Colombo","32","24","90","70","Several spells of light showers"
"Galle","31","25","90","75","Several spells of light showers"
"Jaffna","30","24","90","70","Mainly fair"
"Kandy","30","20","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","14","90","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","23","95","70","Several spells of light showers"
"Trincomalee","30","24","90","65","Mainly fair"
"Mannar","31","25","90","70","Mainly fair"
