"","","Galgamuwa","786","2912","","","","","","","","","",""
"","","Ambanpola","1687","5243","","","","","","","","","",""
"","","Giribawa","2523","7063","","","","","","","","","",""
"","කුරුණෑෙල","","","","","","","","","","","","",""
"","6
FUdhfy;","Drought
Mahawa","2018
2177","5670","","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","","",""
"","","Bamunukotuwa","248","794","","","","","","","","","",""
"වයඹ","","","","","","","","","","","","","",""
"","","Ahatuwewa","1335","3319","","","","","","","","","",""
"පලාත/tlNk","","","","","","","","","","","","","",""
"y;","","Polpithigama","5098","15586","","","","","","","","","",""
"khfhzk;/","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","13854","40587","0","0","0","0","0","0","0","0","0","0"
"North","","Vanathavilluwa","65","212","","","","","","","","","",""
"Western/","","Drought
Nawagaththegama","2018.09.01
122","361","","","","","","","","","",""
"","පුත්තලම","","7197","22694","","","","","","","","","",""
"","7","Mahakumbukkadawala","","","","","","","","","","","",""
"","Gj;jsk; Puttalam","Elephant Attack","2018.09.17","","1","","","","","","","","",""
"","","Pallama","6967","22505","","","","","","","","","",""
"","","Drought","2018.09.01","","","","","","","","","","",""
"","","Karuwalagaswewa","320","950","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","14671","46722","1","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","28525","87309","1","0","0","0","0","0","0","0","0","0"
"","","Dimbulagala","583","2126","","","","","","","","","",""
"","","Welikanda","3620","13319","","","","","","","","","",""
"","නපොනලොන්නරුව","","","","","","","","","","","","",""
"","8
nghyd;dWit","Madirigiriya
Drought","2018.06.01
10","35","","","","","","","","","",""
"","Polonnaruwa","","","","","","","","","","","","",""
"","","Higurakgoda","200","785","","","","","","","","","",""
"","","Elahera","7","28","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","4420","16293","0","0","0","0","0","0","0","0","0","0"
"","","Mahavilachchiya","3075","9210","","","","","","","","","",""
"","","Rambawa","2369","7842","","","","","","","","","",""
"","","Madyama nuwara palatha","1243","4502","","","","","","","","","",""
"උතුරුමැද","","Palugaswewa","763","2153","","","","","","","","","",""
"පලාත","","Nochchiyagama","1810","5702","","","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","","",""
"","","Mihintale","78","281","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"North","අනුරාධපුර","Thalawa","95","401","","","","","","","","","",""
"Central/","9
m.Guk;","Drought
Thirappane","2016.09.20
1889","7181","","","","","","","","","",""
"","Anuradhapura","Nachchaduwa","680","1850","","","","","","","","","",""
"","","Thambuttegama","844","2577","","","","","","","","","",""
"","","Kahatagasdigiliya","1387","5365","","","","","","","","","",""
"","","padaviya","2040","7545","","","","","","","","","",""
"","","kekirawa","1031","3127","","","","","","","","","",""
"","","Kebithikollewa","2454","7740","","","","","","","","","",""
"","","N.U.P.A","250","780","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","20008","66256","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","24428","82549","0","0","0","0","0","0","0","0","0","0"
"","","Missing in the","","","","","","","","","","","",""
"","","Pothuvil","2018.06.02
3","5","","","3","","","","","","",""
"","","marriane","","","","","","","","","","","",""
"","","Naavithanveli","2018.07.01
2475","7855","","","","","","","","","",""
"","","Thirukkovil","2018.03.05
578","1855","","","","","","","","","",""
"","","Alaiyadivembu","2018.04.01
955","3173","","","","","","","","","",""
"","අම්පාර","","","","","","","","","","","","",""
"","","Pottuvil","2018.07.11
1229","4088","","","","","","","","","",""
"","10
mk;ghiw","","","","","","","","","","","","",""
"","Ampara","Mahaoya
Drought","2018.08.24
1574","5994","","","","","","","","","",""
"","","Lahugala","2018.04.04
455","1384","","","","","","","","","",""
"","","Uhana","2018.08.23
276","916","","","","","","","","","",""
"","","Damana","2018.07.02
556","1983","","","","","","","","","",""
"","","Padiyathalawa","2018.08.20
3922","12192","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","12023","39445","0","0","3","0","0","0","0","0","0","0"
"","","Koralaipattu North","6649","21616","","","","","","","","","",""
"","","Koralaipattu west","106","337","","","","","","","","","",""
"","","Eravur pattu","3268","10879","","","","","","","","","",""
"නැනෙනහිර","මඩකලපුව","","","","","","","","","","","","",""
"","","Munmunai South west","2826","9414","","","","","","","","","",""
"පලාත/fpof;F","11
kl;lf;fsg;G","Drought","2018.07.25","","","","","","","","","","",""
"/Eastern","","Munmunai Pattu","11624","34775","","","","","","","","","",""
"","Batticaloa","","","","","","","","","","","","",""
"","","Koralaipattu central","583","2034","","","","","","","","","",""
"","","Koralaipattu South","2874","10300","","","","","","","","","",""
"","","Manmunai West","4479","16321","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","32409","105676","0","0","0","0","0","0","0","0","0","0"
