"","Weather Forecast for Main Cities","","","","3-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","27","90","70","Mainly fair"
"Batticaloa","30","27","85","80","Showers or thundershowers are likely after 2.00p.m"
"Colombo","27","25","95","80","Several spells of showers"
"Galle","29","25","95","80","Several spells of showers"
"Jaffna","30","27","85","75","Several spells of showers"
"Kandy","27","23","95","75","Several spells of showers"
"Nuwara-Eliya","17","14","95","70","Several spells of showers"
"Ratnapura","28","24","95","85","Showers or thundershowers at times"
"Trincomalee","32","27","85","65","Mainly fair"
"Mannar","32","28","90","75","A few showers"
