"කෑගල්ල Nffhiy","","","","","","","","","","","","","",""
"7
Galigamuwa
ස්ත්‍බරගමුව පලාත","Tree fallen","2024.10.23/22","5","17","","","","","5","","","","",""
"Kegalle","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","5","17","0","0","0","0","5","0","0","0","0","0"
"Sabaragamuwa","","","","","","","","","","","","","",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","","5","17","0","0","0","0","5","0","0","0","0","0"
"Chankanai","Lightning","2024.10.23","1","4","","","","","","","","","",""
"Kopay","Flood","2024.10.25","13","49","","","","","","","","","",""
"Point Pedro","Flood","2024.10.25","20","74","","","","","4","","","","",""
"යාපනය/aho;g;ghzk;","","","","","","","","","","","","","",""
"8
Delft
උතුරු පලාත  tl","Flood","2024.10.25","7","23","","","","","1","","","","",""
"/ Jaffna","","","","","","","","","","","","","",""
"khfhzk; Northen 
Tellipaili","Flood","2024.10.25","1","3","","","","","2","","","","",""
";","","","","","","","","","","","","","",""
"Thenmarachci","Lightning","2024.10.25","1","5","","","","","1","","","","",""
"Nallur","Flood","2024.10.25","1","5","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","44","163","0","0","0","0","8","0","0","0","0","0"
