"","Weather Forecast for Main Cities","","","","19-Oct-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","31","23","95","70","Showers or thundershowers"
"Batticaloa","31","24","95","65","Showers or thundershowers"
"Colombo","31","24","95","70","Showers or thundershowers"
"Galle","29","24","95","80","Showers or thundershowers"
"Jaffna","31","24","95","75","Showers or thundershowers"
"Kandy","29","21","95","75","Showers or thundershowers"
"Nuwara-Eliya","19","12","95","80","Showers or thundershowers"
"Ratnapura","31","24","95","75","Showers or thundershowers"
"Trincomalee","33","23","95","80","Showers or thundershowers"
"Mannar","31","24","95","75","Showers or thundershowers"
