"","","","Relative","Humidity",""
"","Temperature (0C)","","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","23","90","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","25","85","70","Showers or thundershowers after 2.00p.m"
"Colombo","32","24","90","75","Showers or thundershowers after 4.00p.m"
"Galle","30","24","95","80","Showers or thundershowers after 4.00p.m"
"Jaffna","33","24","90","70","Showers or thundershowers are likely after 2.00p.m"
"Kandy","29","20","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","13","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","33","23","90","60","Showers or thundershowers after 2.00p.m"
"Mannar","33","24","90","80","Showers or thundershowers are likely after 2.00p.m"
