"","","","","","","","","KOik","sT","ன
்  சேதங் கர்","","fl;likg;Gf;fs;","f   No.","",""
"District
DS Division","","","Families","People","","","g","","","","","","","s;","Persons"
"","","","","","","People","","Fully","Partiall","","","Damages to","of Safety","",""
"","","","","","","","","","","Small, Medium,","","","","",""
"","","","","","","","People","","","","","","","Families",""
"","","","","","","","","","y","","","critical","Location","",""
"","","","","","","","","","","Enterprises","","","","",""
"","","","","","","","","","","Damages","","Infrastructure","s","",""
"Imaduwa","Flood","2019.09.22","120","389","","1","","1","23","","","","","",""
"Habaraduwa","Flood","2019.09.22","808","3060","","","","1","27","","1","","","",""
"Akmeemana","Flood","2019.09.22","40","150","","","","","2","","","","","",""
"Ambalangoda","Heavy Rain","2019.09.22","21","64","","","","1","3","","1","","","",""
"Yakkalamulla","Heavy Rain","2019.09.22","68","216","","","","2","14","","2","","","",""
"","","","","","","","","","","","","","","","Siri Sadaham"
"Baddegama","Heavy Rain","2019.09.22","321","1221","1","5","","8","8","","18","","1","19","64"
"","","","","","","","","","","","","","","","Viharaya"
"Walivita Divithura","Heavy Rain","2019.09.23","6","22","","","","1","5","","","","","",""
"ග෈ල්඼","","","","","","","","","","","","","","",""
"1
fhyp        
Bope poddala","Heavy Rain","2019.09.23","260","1180","","","","3","14","","","","","",""
"Galle","","","","","","","","","","","","","","",""
"Gonapeenuwala","Flood","2019.09.23","48","172","","","","","1","","","","","",""
"","","","","","","","","","","","","","","","Milidduwa"
"","","","","","","","","","","","","","","","Sudarmaramaya /"
"Kadawath Sathara","Flood","2019.09.24","984","4079","","","","","","","","","2","36","105"
"","","","","","","","","","","","","","","","Piyadigame"
"","","","","","","","","","","","","","","","SudarshanaRamaya"
"Hikkaduwa","Flood","2019.09.24","66","283","","","","","","","","","","",""
"Elpitiya","Flood","2019.09.24","186","653","","","","1","34","","","","1","36","105 Amugoda Vidyalaya"
"Bentota","Flood","2019.09.24","5","21","","","","1","4","","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","2933","11510","1","6","0","19","135","","22","0","4","91","274"
"Kirinda Puhulwella","High Wind","2019.09.22","9","35","","","","","9","","","","","",""
"Dikwella","High Wind","2019.09.22","35","145","","","","","11","","","","","",""
"Thihagoda","High Wind","2019.09.22","601","2254","","","","1","53","","","","2","55","225"
"Welipitiya","High Wind","2019.09.22","2338","7969","","","","1","33","","","","","",""
"Devinuwara","High Wind","2019.09.22","21","125","","","","","15","","","","","",""
"Weligama","High Wind","2019.09.22","723","2588","","","","1","14","","1","","","",""
"Hakmana","High Wind","2019.09.22","15","56","","","","","15","","","","","",""
"ම෈තර      
Matara","High Wind","2019.09.22","340","1360","","","","","30","","","","","",""
"2
khj;jiw","","","","","","","","","","","","","","",""
"Athuraliya","High Wind","2019.09.22","90","355","","","","","7","","","","","",""
"Matara","","","","","","","","","","","","","","",""
"Kamburupitiya","High Wind","2019.09.22","79","321","","","","2","17","","","","","",""
"Malimbada","High Wind","2019.09.22","57","285","","","","5","23","","","","","",""
"Pitabeddara","High Wind","2019.09.22","10","31","","","","","10","","","","","",""
"Pasgoda","High Wind","2019.09.22","5","15","","","","","","","","","1","5","15 Batandura Temple"
"Kotapola","High Wind","2019.09.22","6","31","","","","","6","","","","","",""
"Akuresse","High Wind","2019.09.22","120","457","","","","2","49","","","","","",""
"Mulatiyana","High Wind","2019.09.22","12","50","","","","","12","","","","","",""
"දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","4461","16077","0","0","0","12","304","","1","0","3","60","240"
